Tweets To Be Annotated,Ground_Truth_Non_Toxic,Ground_Truth_Toxicity,Ground_Truth_Severe_Toxicity,Ground_Truth_Identity_Attack,Ground_Truth_Insult,Ground_Truth_Profanity,Ground_Truth_Threat,Ground_Truth_Sexually_Explicit
@maycie32 do you mean you were too distracted by being a bitch ? :)),0,1,0,1,1,1,0,0
sea shepherd suppoers are racist!   #antiracism #seashepherd,1,0,0,0,0,0,0,0
@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.,0,1,0,0,0,1,0,0
STOP texting these hoes good morning!,1,0,0,0,0,0,0,0
Biggest booth I ever seen lastnight bitch had a leopard print jumper on look like an over weight leopard,0,0,0,0,1,0,0,0
RT @emmaleeenaa: I be catchin bitches while bitches be catchin feelings,0,0,0,0,0,1,0,0
the bae gettin her nips pierced &#128525;&#128525;,1,0,0,0,0,0,0,0
"RT @Jarhead44: Hi, can I buy you a margarita?Sure!So, I like the way your barstool shows off your clam.",1,0,0,0,0,0,0,1
"Me when folks try to come for me. &#128514; Ok hoe, cool! http://t.co/QduFiVVwHa",1,0,0,0,0,0,0,0
"RT @collegefession: ""We're putting long hard dicks down our throats the least you could do is lick a little pussy #returnthefavor"" - Illino&#8230;",0,0,1,0,0,1,0,1
is the bitch in the new transformers hot?,1,0,0,0,0,1,0,0
I hate my dog's name.. It sounds so ghetto. &#128528;,1,0,0,0,0,0,0,0
Dropped all my hoes for someone. But was that a good decision ? Find out on the next episode of DragonBallZ &#128514;,1,0,0,0,0,0,0,0
This bitch done blew my high and I was high off all of these drugs,1,0,0,0,0,0,0,0
Some hoes that tweet just make me mad lol,1,0,0,0,0,0,0,0
"But you love me, you don't wanna be with nobody else, blah blah.. Bullshit fa the birds..",1,0,0,0,0,1,0,0
Fuck that niggah he so weak he cant tell that you a freak,1,0,0,0,1,1,0,0
&#8220;@FunnyPicsDepot: All the seniors young side hoes gonna be at graduation like http://t.co/qFDBBu4hPV&#8221;,0,0,0,0,1,0,0,0
Ã¢ÂÂ #yen demand at the moment is as a form of Ã¢ÂÂbrexitÃ¢ÂÂ insurance - socgen   #blog #silver #gold #forex,1,0,0,0,0,0,0,0
If only I dated a girl that lived off Mack Road I could just get the holy trinity of Sacramento ghettos on a daily basis,1,0,0,0,0,0,0,0
RT @TheNudesGod: when my girl don't text me back I just tweet. I don't text other bitches Bc I don't want her texting other niggas when I d&#8230;,0,0,0,0,0,1,0,0
90% of niggas goofy and act like bitches,0,1,0,0,1,1,0,0
Get your nasty ass out of my snapchat bitch,0,0,0,0,1,0,0,0
&#8220;@_BeautifulKeezy: &#8220;@100046729: @_BeautifulKeezy wassup&#8221;bye&#8221;bitch you outta order,0,0,0,0,1,0,0,0
them bitches are good lmao,1,0,0,0,0,1,0,0
If I'm sharing my nigga with every other bitch why tf do I want him. He ain't no longer special. The heck.,0,1,0,1,1,1,0,0
RT @charlieecai: Our taxi driver is fucking retarded.. He doesn't know how to get from grapevine to lewisville,0,1,0,1,1,1,0,0
RT @digaveliavelife: Lol I be eatin da shit outta sum pussy. Ill never be a serial pussy eater tho.,0,0,0,0,0,1,0,1
"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say.",0,1,0,0,0,1,0,1
"Eff it, let's go after the cripple&#8217;: You have to see Wendy Davis' new attack ad [video] http://t.co/WapBCHhuru",0,0,1,0,0,0,1,0
good morning!!?¢¬ù¬§?Ø¬?¬è??¬ü¬ò¬? #weekend #love   @user ??¬ü¬ò¬ç,1,0,0,0,0,0,0,0
fucking queer,0,0,1,1,1,1,0,0
#newcomeback #stellar #newconcept i'm excited,1,0,0,0,0,0,0,0
@JennaHord12 Feels like it's been a year since I seen ya queer lolol,1,0,0,0,0,0,0,0
"Get cunts to threaten me, not bothered. I'd happily hit up a big massive group ae third years or something hahaha. #dropkickkk",0,0,0,1,0,1,1,0
Ok this is funny... A proud liberal who wants to end racism calls Tim Scott an Uncle Tom Lolz lib idiots #tcot http://t.co/y6X6eagw20,1,0,0,0,1,0,0,0
almost as  as dad #5wordtrumplethinskin,1,0,0,0,0,0,0,0
"Hello, and to them bitches!!!!! ""@WitHaPrettyface: I just want him to keep them lies to his self..&#128524;&#128080;""",0,1,0,0,0,1,0,0
Man stop acting like faggots and go for the WIN! @Kaepernick7,0,0,0,0,0,1,0,0
relaxing nature sounds #peaceful #chill #relax   #beautiful #relaxing #nature #meditation #mindfulness #peace,1,0,0,0,0,0,0,0
Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ¶Ã°ÂÂÂ»Ã°ÂÂÂ water waves make #baby  . #fathersday week with the #baby at #leocarrillo #malibu @user,1,0,0,0,0,0,0,0
The hoes be rated E !,0,1,0,0,1,1,0,1
RT @divonte_photos: Momma said no pussy cats inside of my dog house.,0,0,0,0,0,1,0,0
@kayliefarmer @bbluedreamm no but if you dare I'll slay your ass. You fruity quaffing tranny.,0,1,0,1,1,1,0,0
@user thanks. doubt twitter will do anything.   @user ==&gt;@user &lt;== fake/#troll account. @user,1,0,0,0,0,0,0,0
"""@trutherbot: does he look like a bitch?"" @el_capacitor",0,0,0,0,0,1,0,0
RT @ispeak_sarcasms: the nigga with no future always have the most hoes..,0,0,0,0,0,1,0,0
@user happy bihday to me Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ¢ÂÂ¨ thank you all for the bihday love Ã°ÂÂÂ #bihdaygirl #jodimusic #singer #nyc   #life,1,0,0,0,0,0,0,0
big bitches be sayin why yo eyes all on my stomach? Bitch why yo stomach all in my eyes,0,0,0,0,1,1,0,0
"angry seaside: summer, where are you?   #seaside #summer #summerwhereareyou #where #juneÃ¢ÂÂ¦",1,0,0,0,0,0,0,0
@_Maniac_Mind_ @Marcfoor4 stfu with that what I'm gonna do and just fuck oh pussy ads nigga,0,1,0,0,0,1,0,0
@MadameCurry_ what kind of hoe are you dressing up as?,0,1,0,1,1,1,0,1
&#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;,0,0,0,0,1,1,0,0
Just said bye to @ParkerWidly. Last time I have to see his bitch ass for four months #ThankGod,0,1,0,1,1,1,0,0
"""New Flame"" the song of the yr lol that bitch SUPER run like",0,0,0,0,0,1,0,0
"Any man even considering plastic surgery is gay gay gay imagine ya boy say ""I'd get more hoes then u after I get these new lips"" &#128514;&#128514;&#128514;",0,1,0,1,1,1,0,0
book - #german #colonialism in a global age  ht @user #imperialism #blm,0,0,1,0,0,0,0,0
"oh, well i missed this sight today!   very remiss of bessie not to wake me at dawn",1,0,0,0,0,0,0,0
"RT @Bigboybeezy: Kanye &gt; Tupac........ ""are you serious?"" Yep bitch keep it moving.",0,0,0,0,1,0,0,0
This bitch is so annoying&#128530;&#128530;,0,0,0,0,1,1,0,0
@user work less love more be happy   #laugh #love #life #diet #shakeology #shakes #workout #world #change #fitness,1,0,0,0,0,0,0,0
How you gonna use my name while you talmbout pussy tastes? lol,0,0,0,0,0,0,0,1
"but I'd rather be a free man in my grave
than living as a puppet or a slave
but above those shit options bitch
would be free alive and rich",0,0,0,0,0,1,0,0
jeff sessions tries to delete decades of ....,1,0,0,0,0,0,0,0
@Stonisnipezz this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.,0,0,0,1,1,1,0,1
RT @itsDeSha__: hickeys hurt I don't see how people always have them hoes .,1,0,0,0,0,1,0,1
"&#8220;@briceokc: ""cigarettes are so gross"" -half the bitches that smoke cigarettes &#128530;&#8221; @gfys__",1,0,0,0,0,1,0,0
RT @Officialsed_: Most relationships end because bitches wanna take advice from their lonely ass single friends! &#128514;&#128514;&#128514;,0,1,0,0,1,1,0,0
&#8220;@Chhicoo: @VSamone stupid bitch!&#8221; http://t.co/K7MyvFlWFg,0,1,0,0,1,1,0,0
"RT @iDntLuvHoes: All I see on my timeline is
Ebola
Ebola
Ebola
I hate school 
Ebola 
Ebola
Some twitter hoes selfie
Ebola
Ebola
Pull out ga&#8230;",1,0,0,0,0,0,0,0
@radar_online old cunt needs to die,0,0,1,1,1,1,1,1
when the waiter asks @user if he wants to eat the plate aswell...,1,0,0,0,0,0,0,0
I ain't cutting my hair for u hoes at hc,1,0,0,0,0,0,0,0
"@GGChanel @jesjosie Yeah, it's fuck that Jigsaw-faced bitch everyday, B.",1,0,0,0,0,1,0,0
"&#8220;@GrumpyCatTalkin: I'm sorry I offended you when I called you a bitch, I honestly thought you knew.&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;",0,0,0,1,0,1,0,0
Winn Dixie is for real niggaz publix is for pussies,0,0,0,0,0,1,0,0
Our female guinea pig is pregnant &#127882;&#127881;&#127873;&#128525;&#128525;&#128525;,1,0,0,0,0,0,0,0
I feel like I should be sad and all that pussy shit but I am just so pissed right now idk what I'm feeling.,0,0,0,0,0,1,0,0
"@Patchy_Beard G's up, hos down, Rush. I mean clearly he likes to party.",1,0,0,0,0,1,0,0
@marcostc__ you're right momma ain't raise no faggot,1,0,0,0,0,1,0,0
@cumkwats thank you based pee slit,1,0,0,0,0,0,0,0
I'm gonna hoe the shit out of you when we meet again can't wait,1,0,0,0,0,1,0,1
video: currently at @user @user    #cute #eyes #like #follow #instafit #,1,0,0,0,0,0,0,0
"My teacher always says ""Has a man ever abused his wife while using marijuana? Not unless she hides the Oreo cookies then she deserves it.""",0,1,0,1,1,1,0,1
@AliciaDaniella8 them hoes was trash,1,0,0,0,1,1,0,1
"Yea, Mike had a bitch-ass referee in Tokyo @Royceda59",1,0,0,0,1,1,0,0
i decided to become a #feminist beginning 1/1/17. if any feminists are reading plz help to find educational materials.   #feminism,1,0,0,0,0,0,0,0
Inde jus got me all hype at work!! I knew my bitch Candace ain't die,1,0,0,0,0,1,0,0
RT @CraziestSex: Sucking dick &amp; eating pussy is apart of sex. If you think it's nasty then maybe your ass is too YOUNG to be fucking in the&#8230;,0,1,0,0,0,1,0,1
Wiz thought he could turn his hoe into a house wife #SHEDONTBELONGTOYOU #SHEBELONGSTOTHEWORLD,0,1,0,1,1,1,0,1
where my scene hoes at?,1,0,0,0,0,0,0,0
RT @WingsoverHoes: Niggas gossip like hoes I'm sleep tho,1,0,0,0,1,1,0,1
"@Blackman38Tide Ha bitch, I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD",1,0,0,0,0,0,0,0
@1Starflow &#128514;&#128514;&#128514; them bitches need a tan,0,1,0,1,1,1,0,0
I swear I heard that bitch creak,1,0,0,0,1,1,0,0
"These chubby hoes are always on a ""diet""......",0,0,0,0,1,1,0,0
&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; RT @RealityyBites: Nope Thts not wht it says here.. RT @PeachDulce: I'm not a hoe. I'm a people person http://t.co/RJ1vIx7VCz,1,0,0,0,0,0,0,0
RT @AntiCHILL: Just had a convo wit my ex n she reminded me y she is my ex smh idk y i even answerd for this bitch,0,1,0,1,1,1,0,0
bitch I seen them tricks before #haannnn foh,0,0,0,0,0,1,0,0
RT @ItsKiaraaaa: &#8220;@WestYourMajesty: Kiara has small chubby fingers&#8221; bitch &#128514;&#128514;&#128514;&#128514;,0,0,0,0,1,0,0,0
RT @itsDC_2x: Rihanna is currently dropping bombs on you bitches!,1,0,0,0,0,1,0,0
RT @paul_lander: Charlie Sheen is engaged to a porn star. I can't be the only one thinking she can do a lot better.,1,0,0,0,0,0,0,0
"' Ima pull up , eat on that pussy and dip &#1041219;&#9996;&#65039; ,",1,0,0,0,0,1,0,1
RT @CuhCuhCuh: bitches is twerkin on camera while they kid watchin sponge bob cuh,1,0,0,0,0,0,0,0
"Bitch I'm not about to eat ya pussy all day long..I got a life.",0,1,0,1,1,1,0,1
@lilmenifee__ &#128514;&#128514;&#128514;&#128514;&#128514; yeah I read yo shit to fast bitch,0,0,0,0,0,1,0,0
RT @ImChiefy: I'll send dick pics to your bitch quick .,0,1,0,1,1,1,1,1
"#riphumanity  may allah keep thm under his protection and bless thm ,ameen",1,0,0,0,0,0,0,0
All my niggaz better have at least 3 ugly bitches number in their phone this summer.,0,0,0,0,0,1,0,0
@RepulsiveTool And the only band that sucked worse live is those fags Guns &amp; Poses.,0,1,0,1,1,1,0,0
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/iuCRWOfDts,0,0,0,0,0,0,0,0
just finished our orientation #welivedesign   #sofadesign #june13 @ sofa design institute,1,0,0,0,0,0,0,0
getting ready to swing into the sixties tonight with @user   #sewingbee,1,0,0,0,0,0,0,0
These bitches dont want no boyfriend ... They want a pimp,0,1,0,0,1,1,0,1
i couldn't end #2016 without mentioning #trump.  #feminism #photographs #shockfactor,1,0,0,0,0,0,0,0
@kincade00 you owe me anyway hoe I need that with interest or shooting your shit up,0,0,0,0,0,0,1,0
"a little more adjustment &amp; finish the painting all over it be done.  got a vision, create it  xx??¬ü¬ò¬É??¬ü¬ò¬É",1,0,0,0,0,0,0,0
I done hit bout 6 threes out this bitch,0,1,0,0,0,1,0,0
TMZ hoes http://t.co/J0lWD4S9d5,0,1,0,0,1,1,0,1
"RT @TooFab: Finally! Warner Bros. making superhero films starring a woman, person of color and actor who identifies as ""queer"" http://t.co/&#8230;",1,0,0,0,0,0,0,0
aww yeah it's all good bing bong bing bong,1,0,0,0,0,0,0,0
@user @user is good place to sta learning abt how one person can be a  &amp; #bigot #mtvwhiteguys,1,0,0,0,0,0,0,0
@user yet again another day trying to ring your shit customer service numbers!!! no response   even rang @user,0,0,0,0,0,1,0,0
now i understand why vegans and vegetarians are such miserable souls...they don't eat bacon!,0,0,0,1,0,0,0,0
@user caption this!   pearlman,1,0,0,0,0,0,0,0
@FRANKTHEFOB ok u hav gun. I love you and you are my superior at fighting games and you probably get more bitches too. peace &#9996;,1,0,0,0,0,1,0,0
@Billythathird @Dimi_Artale aye were da fawking ginzos of fawking queens and fawking nassau,1,0,0,0,0,1,0,0
every time I ask for something the waitress touches my knee till I'm done asking. That mean she tryna give a nigga some pussy don't it.,1,0,0,0,0,1,0,1
i love teaching! ð#pretty #live#laugh #teach#esthetics #eyesâ¦,1,0,0,0,0,0,0,0
"RT @ShesAddicted2Me: ""@187XO_: ' I rather jack off then fuck hoes tbh , That shit boring give me a wife ."" Lmfao , Little Be Like ...",0,1,0,1,1,1,0,1
RT @KINGTUNCHI_: Lowkey I put sum of these hoes on the map ... So call me kingtunchi bitch !,1,0,0,0,0,1,0,1
&#128073;RT @Str8_no_Chazer: Bet y'all bitches was deaf to MC Lyte's words about being treated like a queen huh,1,0,0,0,1,1,0,0
Alotta people say they loyal to they niggas and bitches .... Yall aint shiiittt . Someone throw a few dollas in ya face you'll be snitchn &#128175;,0,1,0,1,1,1,0,0
this is the 3rd time i've watched the whole vampire diaries series over again,1,0,0,0,0,0,0,0
@DjChubbESwagg this like a retarded wu-tang clan,0,1,0,1,1,1,0,0
"I see bitches ain't been doing nun, but trotin &amp; thotin &#128514;",0,0,0,0,0,1,0,0
RT @IamMrEchols: She eating pussy but don't eat vegetables,0,1,0,0,0,1,0,1
Every half-breed cop in America is trying to rape white women.,0,0,1,1,1,0,0,1
"like ""look at this annoying little 17/18 year old asking for a ride haha fuck her poser bitch ass""",0,0,0,0,1,0,0,0
@user dwyane wade #nbavote    if you hate  #boycottdelta #islamophobia,0,1,0,0,0,0,0,0
"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour",1,0,0,0,0,1,0,0
RT @POONsoaker: Her pussy A1 if she can quote over 15 boosie quotes,0,1,0,0,0,1,0,0
"hey guys, apparently white and black people are even for that whole slavery thing, so that's nice.  #history",0,1,0,1,1,1,0,0
"fantastic weekend at croft,so pleased to get another win for @user @user @user  thank you for all the nice messages",1,0,0,0,0,0,0,0
hey @user prez doesn't like politicians who appear on cable news but presidents on jimmy kimmel and the view are dignified,1,0,0,0,0,0,0,0
Free Ballout lil bitch &#128520;&#128299;,1,0,0,0,0,1,0,0
Lmaooo wait so why everybody talm bout card crackers?! I missed it,1,0,0,0,0,0,0,0
happy father's day from first equity funding.   fathersday  #fathersday #firstequity #funding,1,0,0,0,0,0,0,0
These hoes aint loyal &#128076;,1,0,0,0,0,0,0,0
#hatecrime against #sikh community in #calgary,1,0,0,0,0,0,0,0
@LeMochaMojito bitch who is you?,0,0,0,0,1,0,0,0
@giantsniners85 he's the definition of little squirrelly bitch,0,1,0,0,1,0,0,0
immoality   #waves #lake #river #live #life #love #nice #awesome #cool #fun   #sea #beach?¢¬Ä¬¶,1,0,0,0,0,0,0,0
This bitch on Maury got 11 baby daddy's!,1,0,0,0,0,0,0,0
"all night long, yeah!  #friday @user",1,0,0,0,0,0,0,0
I'm just gonna get my dog to eat a bitch,0,1,0,0,0,1,0,0
@Get__Em__Craig I was sleep hoe where you at,1,0,0,0,0,0,0,0
"RT @DevinEleven_: hey slim, thats my girlfriend screaming in the trunk. But i didn't slit her throat, i just tied her up ! See i ain't like&#8230;",0,0,1,0,0,1,1,0
RT @Just2Savage: This height shit aint cute at all. Yall some dumb hoes going out in public looking like Jack and the bean stalk. &#128514; http://&#8230;,1,0,0,0,1,1,0,1
@salsteelo @VictorLeaChavez that nigga Vic acting like he yellow bone with 15k followers and can't answer a nigga phone,0,0,0,0,0,0,0,0
RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr,0,1,0,0,0,0,0,1
RT @PapasPaid: My tuesday bitch man I aint even hit it yet just finger pop her pussy just to sit and get the kitty wet,0,0,0,0,0,1,0,1
"RT @b_kolinskyy: ""Drop that bitch"" -@j_hikes on the atomic bomb",1,0,0,0,0,1,0,0
"No. Its wrong to try to change #faggots&gt; There is no ""therapy"" so #tcot should understand and sympathize like they are #retards&gt;",0,0,1,1,1,1,0,0
"You don't know me, but I'm your bra. RT @HuffingtonPost: Doobie Brothers member Michael McDonald says he'll ""come out as a tranny""",1,0,0,0,0,0,0,0
"RT @_JBsoprano: ""Young N****s act hard and all the bad B*****s grew up to be trash broads"" -@JaeTips",0,1,0,1,1,1,0,0
"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes""",0,0,0,0,0,0,0,0
@Blackman38Tide bandana Orian. They called me trailer trash for wearing my lil country getup &#128545;,1,0,0,0,0,0,0,0
"@user good job on reducing a talented performer to her physical ""assets,"" you #misogynist douchewaffle.  @user",1,0,0,0,0,0,0,0
@justinbieber have fun getting deported you fucking faggot,0,0,0,0,0,1,0,0
all ready for charlie and the chocolate factory! #london2016 #memories #oompaloompas,1,0,0,0,0,0,0,0
why lie tho&#8230;&#8230; we gon' find you bitches,0,0,0,0,0,1,0,0
@PinchSuckBlow lmoa @ high as giraffe pussy,0,1,0,0,1,1,0,0
"95% of the truly talented people i've come across are retarded professionally. 95% of the awful, untalented people are on point and polite..",0,1,0,1,1,1,0,0
when you can't stop #saved  #letstalkabout #thepoliticalmillennial  #class #education #feminism  #politicsâ¦,1,0,0,0,0,0,0,0
"RT @firemunky: RIP Tom FoleyRIP Greg SikorskeyRIP Charlie AnayaRIP Wells CrowtherRIP Andy Fredericks",1,0,0,0,0,0,0,0
RT @BIGHOMIEMARKIE: Dese bitches ain't shit I get em high and feed em dick,0,1,0,1,1,1,0,1
@Mattyfatass pussy,0,0,0,0,1,1,0,0
@user @user   i will suspend my funding of u.s. gov until  #sexualpredator resigns,0,1,0,1,1,1,0,1
any of my fellow #necromancers or #witches visited #oradoursurglane in #france? i'll be #blogging on it in the next few weeks.   place.,1,0,0,0,0,0,0,0
"meet the wilmington peacekeepers, they walk in beauty. #cnv week of actions #peace #povey  #climateÃ¢ÂÂ¦",1,0,0,0,0,0,0,0
Westbrook you ball hogging bitch pass it to your fuckin teammates if you want to win,0,1,0,0,1,1,0,0
"here's a ?for the day the government and states county's etc. can #ban smoking, #saying ceain words , #clothing in schools ...so  ?",1,0,0,0,0,0,0,0
crewlove! #thegang #crewlove   #friends #mÃÂ¤dels #milchschnitteÃ°ÂÂÂÃ°ÂÂÂ¼Ã°ÂÂÂÃ¢ÂÂ¤Ã¯Â¸Â,1,0,0,0,0,0,0,0
Shut up bitch swallow,0,0,1,1,1,1,0,1
Its obvious the bitch is still immature and havent let go of the past yet. Just face it. You fucked up a good thing,0,0,1,1,1,1,0,0
Bitches don't even go out to have fun anymore they just go out to tweet about the function and to take pics wit other bitches,0,0,0,0,0,1,0,0
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #CloseUp | amateur pussy player milf close up http://t.co/2uHL7dhHu1",0,0,0,0,0,1,0,1
I thought it was Legal to beat yo hoe!,0,1,0,0,0,1,0,0
@HarleyyyQuinn_ trash,0,1,0,0,0,0,0,0
You see me shining on yo bitch ass &#128570;&#128571;&#10024;&#127775;&#128171; http://t.co/ekWNL6bau4,0,0,0,0,0,1,0,0
@JusDahl not nappy head hoe though &#128514;&#128514;,0,0,0,0,0,0,0,0
"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",0,1,0,0,0,1,0,0
"In class still drunk from last night and this broad is doing a presentation on Chipotle, bitch can I live #tease #feedme",0,0,0,0,0,1,0,0
#theshallows weak attempt to cash in on the jaws anniversary,1,0,0,0,0,0,0,0
@PraviKingDino you like men faggot.,0,0,0,1,1,1,0,0
maybe bitches will stop talking about this dude omari one day,1,0,0,0,0,1,0,0
"It's official. I leave America January 3rd. See ya bitches in February. Have fun with winter for me.",1,0,0,0,0,1,0,0
The Pirates have made the playoffs and the Yankees are out...hell has frozen over,0,0,0,0,0,1,0,0
The same bitches telling you to let it go are the same ones that would go in and grab it right after you.&#128175;&#128079;,1,0,0,0,0,0,0,0
I wouldn't last in prison... Them bitches would eat me alive...,0,0,0,0,0,1,0,0
@prime13_time @Vbomb20 hey I guess yall forgot im in this bitch too lol,0,0,0,0,0,1,0,0
Ugh I'm such a little bitch &#128514;,0,0,0,0,0,1,0,0
RT @zakkmcdaniel: You need to at least not be a bitch 12/7 to date me,1,0,0,0,0,1,0,0
@_noWashington what that hoe was like,1,0,0,0,0,1,0,0
"""no pussy, or not tryna go to the studio, don't CALL my mufuckin crib like that, god. Yo. Word up god I will BUSS YO SHIT, god, word up""",0,1,0,0,0,0,0,0
"don't forget, @user - research shows that sexist men have psychological problems. #tuckercarlson",0,1,0,0,0,0,0,0
then yall tweet about not trusting hoes like that shit ain't common sense already,1,0,0,0,0,1,0,0
I bought hummus and broccoli. I just need snacks and shit. RT @Omgitstamz: i need to buy crackers and shit,1,0,0,0,0,1,0,0
we live in a country where many think this first lady is less vulgar than a black first lady.  #trumpâ¦,1,0,0,0,0,0,0,0
Bald head bitches think it's their time to prosper !,0,1,0,0,1,1,0,0
@alanaaaaaa_ pussy,0,0,0,0,0,0,0,1
"#cotd   polar bear climb racing: angry polar bear climb racing, the polar bear living in cold places looking",1,0,0,0,0,0,0,0
RT @LIVYLOHAN: &#8220;@1waynostra: Dats y I don't argue wit Dese bitches lol&#8221; keep it brief trappa lls,1,0,0,0,0,1,0,0
"RT @collegefession: ""Guy tells me he doesn't eat pussy, and all of the sudden I don't suck dick anymore"" - Centeral Washington University",0,1,0,1,1,1,0,1
"wishing all fantastic night as you prepare 4 another day,thanks to sir jah for the big day we had 2day.  fathers day",1,0,0,0,0,0,0,0
Boys dont wanna seem like bitch thats why they dont express feelings like us females do,1,0,0,0,0,0,0,0
I roll a blunt better than the bitches in Havana ! Cause I'm the king round here !,1,0,0,0,0,1,0,0
wonderful dinner Ã¢ÂÂ¤Ã¯Â¸Â #dinner #yum #thegafford #stua #adventures #delicious,1,0,0,0,0,0,0,0
"RT @PinkSapph: If a hoe is talking to your man, she's not the problem, he is. The fact that hoes feel welcomed reflects on how he acts behi&#8230;",0,0,0,0,0,1,0,0
#That son of a bitch moment when you turn the radio on and your favorite song is on but its the end of the song,1,0,0,0,0,0,0,0
"This bitch literally just said ""normal people shouldn't work out in this gym because so many body builders workout here""",0,1,0,0,1,1,0,0
When my right hand get out niggas gon remember why we tru loyal pussy,0,0,0,0,0,1,0,0
@Rasheed_Sheen man damn dude come get this bitch lml,1,0,0,0,0,0,0,0
not nly fr winners even every @user na fans felt  #proud   #tearsofjoy  at this moment Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,1,0,0,0,0,0,0,0
on the nose: perfumer sparks  furore,1,0,0,0,0,0,0,0
If this bitch hangs up on me one more time....,1,0,0,0,0,1,1,0
work out the idea of creating a substantive argument and making a point rather than calling names.Ã¢ÂÂ¦,1,0,0,0,0,0,0,0
isn't it time we realized what we've done:  #hate #exploitation! read america's history!,1,0,0,0,0,0,0,0
"RT @youngscrap: I sent that bitch a smiley face, bitches love smiley faces &#128515;",1,0,0,0,0,1,0,0
Only niggah on my TL so getting off now,0,0,0,0,0,1,0,0
"@ImToBlame Apple TV got the NFL channel on that bitch, I'm pretty sure they're all on there. I've watched a couple. @DukeOfZamunda",0,0,0,0,1,0,0,0
RT @Nigel_D: RT: @JoeBudden I just wanna state for the record that I don&#8217;t have any hoes. - http://t.co/pcd2slVKxy,1,0,0,0,0,0,0,0
sex top 10 porn video,0,0,0,0,0,0,0,1
@ItsLenDaddy thanks bruh dont ever forget we still on the look out for these faggots ................................. @JustCurrieOn,0,1,0,1,1,1,0,0
"RT @Soy_Brent: steal a nigga's bitch, don't steal a nigga's tweets.",1,0,0,0,0,1,0,0
"if you're not   with what you're doing, you'll never be good at it.",1,0,0,0,0,0,0,0
@Fru_Iam I seen sum of it but I'm tryin see lox n mook,1,0,0,0,0,0,0,0
The baddest bitch is back on chestnut! @ryancommakerry #welcomehome,0,0,0,0,0,1,0,0
You can't blame me for the bitches I attract.. Y'all say ima asshole when I talk about hoes... but that's kinda what I be having.,1,0,0,0,0,1,0,0
almightydavehunna's photo http://t.co/QFK2jhStc4 haha bitch ass Shmedium hit that hoe with that caption &#128557;&#128514;,0,0,0,0,1,0,0,0
12 oz arizona's trash,1,0,0,0,0,0,0,0
@_puderbaugh don't be a bitch. Get two.,0,1,0,0,0,1,0,0
Them hoes gone be called strvp,1,0,0,0,0,0,0,0
&amp; fuck your bitch,0,0,0,0,1,0,0,0
"Got the Vector Job, bitch.",0,0,0,0,0,1,0,0
God people can be so mean. This Asian guy held the door for these girls and they said they were surprised he could see it with his slant eye,0,0,0,1,0,0,0,0
\#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;Ã¢ÂÂ¦,1,0,0,0,0,0,0,0
"Pillow talkin to bitches, i see her she bad but NIGGA SHE BASIC!",0,1,0,1,1,1,0,1
"damn I have nothing to tweet,nothing to complain or bitch about): lol",0,0,0,0,0,1,0,0
RT @LifeAs_Meghan: I only wear weave because I like it !! A bitch got hair &#128514;&#128129;,0,0,0,0,0,1,0,0
@ArtbyLecardin @Amy0813Amy @Deeiiggee until the world sees 2 faggot jungle bunnies are fucking and one got pregnant,0,0,1,1,1,1,0,1
&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; RT @KarltonHinez: @ItsNotHarold smh bitch sellin her ass,0,1,0,1,1,1,0,1
@FixItJESUSx just be a hoe then,0,0,0,0,1,0,0,0
For all we know this nigga a rapist. Y'all hoes dumb &#8220;@daniellathepimp: *melts* http://t.co/RRROzn5bdy&#8221;,0,1,0,1,1,1,0,0
you hoe spice,0,0,0,0,0,0,0,0
"@TakingBackSunda @NYCGreenfield @lsarsour that's not how you resist, you worthless retard. Do you need a dictionary?",0,1,0,0,1,1,0,0
so i found this uncle by the road side at the market this morning and almost everything he sells could be a potential #diy project.,1,0,0,0,0,0,0,0
